Date,Device Category,Browser,Total Visitors,Sessions,Bounce Rate
2019-06-02,desktop,Firefox,77,77,0
2019-06-02,desktop,Internet Explorer,77,77,49.3506
2019-06-02,desktop,Safari,307,345,66.6667
2019-06-02,mobile,Chrome,460,499,38.477
2019-06-02,mobile,Safari,1612,1842,45.8198
2019-06-02,mobile,Samsung Internet,230,499,53.9078
2019-06-02,tablet,Chrome,77,77,49.3506
2019-06-02,tablet,Safari,192,192,40.1042
2019-06-03,desktop,Chrome,2763,2993,42.2987
2019-06-03,desktop,Edge,460,499,38.477
2019-06-03,desktop,Firefox,230,269,14.1264
2019-06-03,desktop,Internet Explorer,691,806,38.0893
2019-06-03,desktop,Opera,38,38,0
2019-06-03,desktop,Safari,384,460,41.7391
2019-06-03,mobile,Android Webview,38,38,100
2019-06-03,mobile,Chrome,883,1266,33.3333
2019-06-03,mobile,Safari,2226,2648,49.2825
2019-06-03,mobile,Safari (in-app),38,38,0
2019-06-03,mobile,Samsung Internet,345,537,35.7542
2019-06-03,tablet,Safari,115,269,85.5019
2019-06-04,desktop,Chrome,77,77,0
2019-06-04,desktop,Edge,38,38,0
2019-06-04,desktop,Firefox,77,77,0
2019-06-04,desktop,Internet Explorer,38,77,49.3506
2019-06-04,desktop,Safari,38,38,0
2019-06-04,mobile,Chrome,115,153,24.8366
2019-06-04,mobile,Safari,192,230,16.5217
2019-06-01,desktop,Chrome,998,1075,25.0233
2019-06-01,desktop,Edge,115,115,66.9565
2019-06-01,desktop,Firefox,154,154,50
2019-06-01,desktop,Internet Explorer,115,115,33.0435
2019-06-01,desktop,Safari,192,230,33.4783
2019-06-01,mobile,Chrome,614,730,47.3973
2019-06-01,mobile,Safari,1190,1421,43.209
2019-06-01,mobile,Safari (in-app),115,115,66.9565
2019-06-01,mobile,Samsung Internet,38,115,100
2019-06-01,tablet,Chrome,38,38,0
2019-06-01,tablet,Safari,192,192,40.1042
2019-06-02,desktop,Chrome,921,960,43.9583
2019-06-02,desktop,Edge,154,154,0
2019-06-02,desktop,Firefox,77,77,0
2019-06-02,desktop,Internet Explorer,77,77,49.3506
2019-06-02,desktop,Safari,307,346,66.474
2019-06-02,mobile,Chrome,461,499,38.477
2019-06-02,mobile,Safari,1613,1843,45.8492
2019-06-02,mobile,Samsung Internet,230,499,53.9078
2019-06-02,tablet,Chrome,77,77,49.3506
2019-06-02,tablet,Safari,192,192,40.1042
2019-06-03,desktop,Chrome,2764,2995,42.3038
2019-06-03,desktop,Edge,461,499,38.477
2019-06-03,desktop,Firefox,230,269,14.1264
2019-06-03,desktop,Internet Explorer,691,806,38.0893
2019-06-03,desktop,Opera,38,38,0
2019-06-03,desktop,Safari,384,461,41.6486
2019-06-03,mobile,Android Webview,38,38,100
2019-06-03,mobile,Chrome,883,1267,33.307
2019-06-03,mobile,Safari,2227,2649,49.2639
2019-06-03,mobile,Safari (in-app),38,38,0
2019-06-03,mobile,Samsung Internet,346,538,35.6877
2019-06-03,tablet,Safari,115,269,85.5019
2019-06-04,desktop,Chrome,3148,3494,40.6697
2019-06-04,desktop,Edge,192,192,40.1042
2019-06-04,desktop,Firefox,307,307,37.4593
2019-06-04,desktop,Internet Explorer,691,806,28.536
2019-06-04,desktop,Safari,346,384,50
2019-06-04,mobile,Android Webview,77,77,100
2019-06-04,mobile,Chrome,845,998,50
2019-06-04,mobile,Safari,1881,2073,29.6189
2019-06-04,mobile,Safari (in-app),192,192,80.2083
2019-06-04,mobile,Samsung Internet,461,883,30.4643
2019-06-04,tablet,Chrome,38,154,24.6753
2019-06-04,tablet,Internet Explorer,38,38,0
2019-06-04,tablet,Safari,115,269,42.7509
2019-06-05,desktop,Chrome,154,154,50
2019-06-05,desktop,Firefox,38,38,0
2019-06-05,mobile,Chrome,154,192,40.1042
2019-06-05,mobile,Safari,115,115,100
2019-06-01,desktop,Chrome,999,1076,25
2019-06-01,desktop,Edge,115,115,66.9565
2019-06-01,desktop,Firefox,154,154,50
2019-06-01,desktop,Internet Explorer,115,115,33.0435
2019-06-01,desktop,Safari,192,230,33.4783
2019-06-01,mobile,Chrome,615,730,47.3973
2019-06-01,mobile,Safari,1191,1421,43.2794
2019-06-01,mobile,Safari (in-app),115,115,66.9565
2019-06-01,mobile,Samsung Internet,38,115,100
2019-06-01,tablet,Chrome,38,38,0
2019-06-01,tablet,Safari,192,192,40.1042
2019-06-02,desktop,Chrome,922,960,44.0625
2019-06-02,desktop,Edge,154,154,0
2019-06-02,desktop,Firefox,77,77,0
2019-06-02,desktop,Internet Explorer,77,77,49.3506
2019-06-02,desktop,Safari,307,346,66.474
2019-06-02,mobile,Chrome,461,499,38.477
2019-06-02,mobile,Safari,1613,1844,45.8243
2019-06-02,mobile,Samsung Internet,230,499,53.9078
2019-06-02,tablet,Chrome,77,77,49.3506
2019-06-02,tablet,Safari,192,192,40.1042
2019-06-03,desktop,Chrome,2766,2996,42.3231
2019-06-03,desktop,Edge,461,499,38.477
2019-06-03,desktop,Firefox,230,269,14.1264
2019-06-03,desktop,Internet Explorer,691,807,38.0421
2019-06-03,desktop,Opera,38,38,0
2019-06-03,desktop,Safari,384,461,41.6486
2019-06-03,mobile,Android Webview,38,38,100
2019-06-03,mobile,Chrome,883,1268,33.3596
2019-06-03,mobile,Safari,2228,2650,49.283
2019-06-03,mobile,Safari (in-app),38,38,0
2019-06-03,mobile,Samsung Internet,346,538,35.6877
2019-06-03,tablet,Safari,115,269,85.5019
2019-06-04,desktop,Chrome,3150,3496,40.6465
2019-06-04,desktop,Edge,192,192,40.1042
2019-06-04,desktop,Firefox,307,307,37.4593
2019-06-04,desktop,Internet Explorer,691,807,28.5006
2019-06-04,desktop,Safari,346,384,50
2019-06-04,mobile,Android Webview,77,77,100
2019-06-04,mobile,Chrome,845,999,49.9499
2019-06-04,mobile,Safari,1882,2074,29.6528
2019-06-04,mobile,Safari (in-app),192,192,80.2083
2019-06-04,mobile,Samsung Internet,461,883,30.4643
2019-06-04,tablet,Chrome,38,154,24.6753
2019-06-04,tablet,Internet Explorer,38,38,0
2019-06-04,tablet,Safari,115,269,42.7509
2019-06-05,desktop,Chrome,3150,3534,47.8212
2019-06-05,desktop,Edge,384,384,29.9479
2019-06-05,desktop,Firefox,230,230,50
2019-06-05,desktop,Internet Explorer,423,538,42.7509
2019-06-05,desktop,Mozilla Compatible Agent,77,77,100
2019-06-05,desktop,Safari,538,538,42.7509
2019-06-05,mobile,Android Browser,38,38,100
2019-06-05,mobile,Android Webview,77,77,100
2019-06-05,mobile,Chrome,730,807,38.0421
2019-06-05,mobile,Safari,1997,2305,36.6594
2019-06-05,mobile,Safari (in-app),154,154,50
2019-06-05,mobile,Samsung Internet,154,538,28.6245
2019-06-05,tablet,Amazon Silk,38,38,0
2019-06-05,tablet,Internet Explorer,38,38,0
2019-06-05,tablet,Safari,307,346,66.474
2019-06-06,desktop,Chrome,499,538,35.6877
2019-06-06,desktop,Firefox,38,77,0
2019-06-06,desktop,Safari,38,38,0
2019-06-06,mobile,Chrome,115,115,33.0435
2019-06-06,mobile,Safari,115,115,66.9565
2019-06-01,desktop,Chrome,999,1076,25
2019-06-01,desktop,Edge,115,115,66.9565
2019-06-01,desktop,Firefox,154,154,50
2019-06-01,desktop,Internet Explorer,115,115,33.0435
2019-06-01,desktop,Safari,192,231,33.3333
2019-06-01,mobile,Chrome,615,730,47.3973
2019-06-01,mobile,Safari,1191,1422,43.2489
2019-06-01,mobile,Safari (in-app),115,115,66.9565
2019-06-01,mobile,Samsung Internet,38,115,100
2019-06-01,tablet,Chrome,38,38,0
2019-06-01,tablet,Safari,192,192,40.1042
2019-06-02,desktop,Chrome,922,961,44.0166
2019-06-02,desktop,Edge,154,154,0
2019-06-02,desktop,Firefox,77,77,0
2019-06-02,desktop,Internet Explorer,77,77,49.3506
2019-06-02,desktop,Safari,307,346,66.763
2019-06-02,mobile,Chrome,461,500,38.4
2019-06-02,mobile,Safari,1614,1845,45.7995
2019-06-02,mobile,Samsung Internet,231,500,53.8
2019-06-02,tablet,Chrome,77,77,49.3506
2019-06-02,tablet,Safari,192,192,40.1042
2019-06-03,desktop,Chrome,2767,2997,42.309
2019-06-03,desktop,Edge,461,500,38.4
2019-06-03,desktop,Firefox,231,269,14.1264
2019-06-03,desktop,Internet Explorer,692,807,38.0421
2019-06-03,desktop,Opera,38,38,0
2019-06-03,desktop,Safari,384,461,41.6486
2019-06-03,mobile,Android Webview,38,38,100
2019-06-03,mobile,Chrome,884,1268,33.3596
2019-06-03,mobile,Safari,2229,2652,49.2836
2019-06-03,mobile,Safari (in-app),38,38,0
2019-06-03,mobile,Samsung Internet,346,538,35.6877
2019-06-03,tablet,Safari,115,269,85.8736
2019-06-04,desktop,Chrome,3151,3497,40.6634
2019-06-04,desktop,Edge,192,192,40.1042
2019-06-04,desktop,Firefox,307,307,37.4593
2019-06-04,desktop,Internet Explorer,692,807,28.6245
2019-06-04,desktop,Safari,346,384,50
2019-06-04,mobile,Android Webview,77,77,100
2019-06-04,mobile,Chrome,845,999,50.0501
2019-06-04,mobile,Safari,1883,2075,29.6386
2019-06-04,mobile,Safari (in-app),192,192,80.2083
2019-06-04,mobile,Samsung Internet,461,884,30.4299
2019-06-04,tablet,Chrome,38,154,24.6753
2019-06-04,tablet,Internet Explorer,38,38,0
2019-06-04,tablet,Safari,115,269,42.7509
2019-06-05,desktop,Chrome,3151,3535,47.8359
2019-06-05,desktop,Edge,384,384,29.9479
2019-06-05,desktop,Firefox,231,231,49.7835
2019-06-05,desktop,Internet Explorer,423,538,42.9368
2019-06-05,desktop,Mozilla Compatible Agent,77,77,100
2019-06-05,desktop,Safari,500,500,46.2
2019-06-05,mobile,Android Browser,38,38,100
2019-06-05,mobile,Android Webview,77,77,100
2019-06-05,mobile,Chrome,730,807,38.0421
2019-06-05,mobile,Safari,1998,2306,36.6435
2019-06-05,mobile,Safari (in-app),154,154,50
2019-06-05,mobile,Samsung Internet,154,538,28.6245
2019-06-05,tablet,Amazon Silk,38,38,0
2019-06-05,tablet,Internet Explorer,38,38,0
2019-06-05,tablet,Safari,307,346,66.763
2019-06-06,desktop,Chrome,2728,3113,46.9001
2019-06-06,desktop,Edge,269,307,37.4593
2019-06-06,desktop,Firefox,384,500,38.4
2019-06-06,desktop,Internet Explorer,538,576,19.9653
2019-06-06,desktop,Opera,38,38,100
2019-06-06,desktop,Safari,269,269,57.2491
2019-06-06,mobile,Android Webview,38,38,100
2019-06-06,mobile,Chrome,845,999,34.6346
2019-06-06,mobile,Opera,38,38,0
2019-06-06,mobile,Safari,1576,1768,26.0747
2019-06-06,mobile,Safari (in-app),115,115,66.9565
2019-06-06,mobile,Samsung Internet,192,538,50
2019-06-06,tablet,Amazon Silk,38,77,0
2019-06-06,tablet,Chrome,38,38,0
2019-06-06,tablet,Internet Explorer,115,154,50
2019-06-06,tablet,Safari,192,192,40.1042
2019-06-06,tablet,Samsung Internet,38,38,0
2019-06-07,desktop,Chrome,192,231,16.4502
2019-06-07,desktop,Edge,38,38,100
2019-06-07,desktop,Internet Explorer,38,38,0
2019-06-07,desktop,Safari,77,77,0
2019-06-07,mobile,Safari,38,38,0
2019-06-01,desktop,Chrome,999,1076,25
2019-06-01,desktop,Edge,115,115,66.9565
2019-06-01,desktop,Firefox,154,154,50
2019-06-01,desktop,Internet Explorer,115,115,33.0435
2019-06-01,desktop,Safari,192,231,33.3333
2019-06-01,mobile,Chrome,615,730,47.3973
2019-06-01,mobile,Safari,1191,1422,43.2489
2019-06-01,mobile,Safari (in-app),115,115,66.9565
2019-06-01,mobile,Samsung Internet,38,115,100
2019-06-01,tablet,Chrome,38,38,0
2019-06-01,tablet,Safari,192,192,40.1042
2019-06-02,desktop,Chrome,922,961,44.0166
2019-06-02,desktop,Edge,154,154,0
2019-06-02,desktop,Firefox,77,77,0
2019-06-02,desktop,Internet Explorer,77,77,49.3506
2019-06-02,desktop,Safari,307,346,66.763
2019-06-02,mobile,Chrome,461,500,38.4
2019-06-02,mobile,Safari,1614,1845,45.8537
2019-06-02,mobile,Samsung Internet,231,500,53.8
2019-06-02,tablet,Chrome,77,77,49.3506
2019-06-02,tablet,Safari,192,192,40.1042
2019-06-03,desktop,Chrome,2767,2998,42.2949
2019-06-03,desktop,Edge,461,500,38.4
2019-06-03,desktop,Firefox,231,269,14.1264
2019-06-03,desktop,Internet Explorer,692,807,38.0421
2019-06-03,desktop,Opera,38,38,0
2019-06-03,desktop,Safari,384,461,41.6486
2019-06-03,mobile,Android Webview,38,38,100
2019-06-03,mobile,Chrome,884,1268,33.3596
2019-06-03,mobile,Safari,2229,2652,49.2836
2019-06-03,mobile,Safari (in-app),38,38,0
2019-06-03,mobile,Samsung Internet,346,538,35.6877
2019-06-03,tablet,Safari,115,269,85.8736
2019-06-04,desktop,Chrome,3152,3497,40.6634
2019-06-04,desktop,Edge,192,192,40.1042
2019-06-04,desktop,Firefox,307,307,37.4593
2019-06-04,desktop,Internet Explorer,692,807,28.6245
2019-06-04,desktop,Safari,346,384,50
2019-06-04,mobile,Android Webview,77,77,100
2019-06-04,mobile,Chrome,846,999,50.0501
2019-06-04,mobile,Safari,1883,2075,29.6386
2019-06-04,mobile,Safari (in-app),192,192,80.2083
2019-06-04,mobile,Samsung Internet,461,884,30.4299
2019-06-04,tablet,Chrome,38,154,24.6753
2019-06-04,tablet,Internet Explorer,38,38,0
2019-06-04,tablet,Safari,115,269,42.7509
2019-06-05,desktop,Chrome,3152,3536,47.8224
2019-06-05,desktop,Edge,384,384,29.9479
2019-06-05,desktop,Firefox,231,231,49.7835
2019-06-05,desktop,Internet Explorer,423,538,42.9368
2019-06-05,desktop,Mozilla Compatible Agent,77,77,100
2019-06-05,desktop,Safari,500,500,46.2
2019-06-05,mobile,Android Browser,38,38,100
2019-06-05,mobile,Android Webview,77,77,100
2019-06-05,mobile,Chrome,730,807,38.0421
2019-06-05,mobile,Safari,1999,2306,36.6869
2019-06-05,mobile,Safari (in-app),154,154,50
2019-06-05,mobile,Samsung Internet,154,538,28.6245
2019-06-05,tablet,Amazon Silk,38,38,0
2019-06-05,tablet,Internet Explorer,38,38,0
2019-06-05,tablet,Safari,307,346,66.763
2019-06-06,desktop,Chrome,2729,3113,46.9001
2019-06-06,desktop,Edge,269,307,37.4593
2019-06-06,desktop,Firefox,384,500,38.4
2019-06-06,desktop,Internet Explorer,538,577,19.9307
2019-06-06,desktop,Opera,38,38,100
2019-06-06,desktop,Safari,269,269,57.2491
2019-06-06,mobile,Android Webview,38,38,100
2019-06-06,mobile,Chrome,846,999,34.6346
2019-06-06,mobile,Opera,38,38,0
2019-06-06,mobile,Safari,1576,1768,26.0747
2019-06-06,mobile,Safari (in-app),115,115,66.9565
2019-06-06,mobile,Samsung Internet,192,538,50
2019-06-06,tablet,Amazon Silk,38,77,0
2019-06-06,tablet,Chrome,38,38,0
2019-06-06,tablet,Internet Explorer,115,154,50
2019-06-06,tablet,Safari,192,192,40.1042
2019-06-06,tablet,Samsung Internet,38,38,0
2019-06-07,desktop,Chrome,2883,3382,43.1697
2019-06-07,desktop,Edge,231,231,16.4502
2019-06-07,desktop,Firefox,154,154,74.6753
2019-06-07,desktop,Internet Explorer,500,577,40.0347
2019-06-07,desktop,Safari,269,307,25.0814
2019-06-07,mobile,Chrome,692,769,34.9805
2019-06-07,mobile,Edge,38,38,0
2019-06-07,mobile,Opera Mini,38,38,0
2019-06-07,mobile,Safari,1576,1845,39.5664
2019-06-07,mobile,Samsung Internet,115,231,16.4502
2019-06-07,tablet,Chrome,115,115,33.0435
2019-06-07,tablet,Internet Explorer,38,38,0
2019-06-07,tablet,Safari,154,154,0
2019-06-08,desktop,Firefox,38,38,0
2019-06-08,mobile,Chrome,154,154,0
2019-06-08,mobile,Safari,115,115,0
2019-06-08,mobile,Samsung Internet,38,38,0
2019-06-01,desktop,Chrome,999,1076,25
2019-06-01,desktop,Edge,115,115,66.9565
2019-06-01,desktop,Firefox,154,154,50
2019-06-01,desktop,Internet Explorer,115,115,33.0435
2019-06-01,desktop,Safari,192,231,33.3333
2019-06-01,mobile,Chrome,615,730,47.3973
2019-06-01,mobile,Safari,1192,1422,43.2489
2019-06-01,mobile,Safari (in-app),115,115,66.9565
2019-06-01,mobile,Samsung Internet,38,115,100
2019-06-01,tablet,Chrome,38,38,0
2019-06-01,tablet,Safari,192,192,40.1042
2019-06-02,desktop,Chrome,923,961,44.0166
2019-06-02,desktop,Edge,154,154,0
2019-06-02,desktop,Firefox,77,77,0
2019-06-02,desktop,Internet Explorer,77,77,49.3506
2019-06-02,desktop,Safari,308,346,66.763
2019-06-02,mobile,Chrome,461,500,38.4
2019-06-02,mobile,Safari,1615,1845,45.8537
2019-06-02,mobile,Samsung Internet,231,500,53.8
2019-06-02,tablet,Chrome,77,77,49.3506
2019-06-02,tablet,Safari,192,192,40.1042
2019-06-03,desktop,Chrome,2768,2998,42.3282
2019-06-03,desktop,Edge,461,500,38.4
2019-06-03,desktop,Firefox,231,269,14.1264
2019-06-03,desktop,Internet Explorer,692,807,38.166
2019-06-03,desktop,Opera,38,38,0
2019-06-03,desktop,Safari,384,461,41.6486
2019-06-03,mobile,Android Webview,38,38,100
2019-06-03,mobile,Chrome,884,1269,33.3333
2019-06-03,mobile,Safari,2230,2652,49.2836
2019-06-03,mobile,Safari (in-app),38,38,0
2019-06-03,mobile,Samsung Internet,346,538,35.6877
2019-06-03,tablet,Safari,115,269,85.8736
2019-06-04,desktop,Chrome,3152,3498,40.6518
2019-06-04,desktop,Edge,192,192,40.1042
2019-06-04,desktop,Firefox,308,308,37.3377
2019-06-04,desktop,Internet Explorer,692,807,28.6245
2019-06-04,desktop,Safari,346,384,50
2019-06-04,mobile,Android Webview,77,77,100
2019-06-04,mobile,Chrome,846,999,50.0501
2019-06-04,mobile,Safari,1884,2076,29.6243
2019-06-04,mobile,Safari (in-app),192,192,80.2083
2019-06-04,mobile,Samsung Internet,461,884,30.4299
2019-06-04,tablet,Chrome,38,154,24.6753
2019-06-04,tablet,Internet Explorer,38,38,0
2019-06-04,tablet,Safari,115,269,42.7509
2019-06-05,desktop,Chrome,3152,3537,47.8089
2019-06-05,desktop,Edge,384,384,29.9479
2019-06-05,desktop,Firefox,231,231,49.7835
2019-06-05,desktop,Internet Explorer,423,538,42.9368
2019-06-05,desktop,Mozilla Compatible Agent,77,77,100
2019-06-05,desktop,Safari,500,500,46.2
2019-06-05,mobile,Android Browser,38,38,100
2019-06-05,mobile,Android Webview,77,77,100
2019-06-05,mobile,Chrome,730,807,38.166
2019-06-05,mobile,Safari,1999,2306,36.6869
2019-06-05,mobile,Safari (in-app),154,154,50
2019-06-05,mobile,Samsung Internet,154,538,28.6245
2019-06-05,tablet,Amazon Silk,38,38,0
2019-06-05,tablet,Internet Explorer,38,38,0
2019-06-05,tablet,Safari,308,346,66.763
2019-06-06,desktop,Chrome,2729,3114,46.9171
2019-06-06,desktop,Edge,269,308,37.3377
2019-06-06,desktop,Firefox,384,500,38.4
2019-06-06,desktop,Internet Explorer,538,577,19.9307
2019-06-06,desktop,Opera,38,38,100
2019-06-06,desktop,Safari,269,269,57.2491
2019-06-06,mobile,Android Webview,38,38,100
2019-06-06,mobile,Chrome,846,999,34.6346
2019-06-06,mobile,Opera,38,38,0
2019-06-06,mobile,Safari,1576,1768,26.0747
2019-06-06,mobile,Safari (in-app),115,115,66.9565
2019-06-06,mobile,Samsung Internet,192,538,50
2019-06-06,tablet,Amazon Silk,38,77,0
2019-06-06,tablet,Chrome,38,38,0
2019-06-06,tablet,Internet Explorer,115,154,50
2019-06-06,tablet,Safari,192,192,40.1042
2019-06-06,tablet,Samsung Internet,38,38,0
2019-06-07,desktop,Chrome,2883,3383,43.1865
2019-06-07,desktop,Edge,231,231,16.4502
2019-06-07,desktop,Firefox,154,154,74.6753
2019-06-07,desktop,Internet Explorer,500,577,40.0347
2019-06-07,desktop,Safari,269,308,25
2019-06-07,mobile,Chrome,692,769,34.9805
2019-06-07,mobile,Edge,38,38,0
2019-06-07,mobile,Opera Mini,38,38,0
2019-06-07,mobile,Safari,1576,1845,39.5664
2019-06-07,mobile,Samsung Internet,115,231,16.4502
2019-06-07,tablet,Chrome,115,115,33.0435
2019-06-07,tablet,Internet Explorer,38,38,0
2019-06-07,tablet,Safari,154,154,0
2019-06-08,desktop,Chrome,730,807,28.6245
2019-06-08,desktop,Edge,77,154,0
2019-06-08,desktop,Firefox,38,38,0
2019-06-08,desktop,Internet Explorer,77,115,33.0435
2019-06-08,desktop,Safari,154,154,24.6753
2019-06-08,mobile,Chrome,884,961,47.9709
2019-06-08,mobile,Firefox,38,38,100
2019-06-08,mobile,Opera Mini,38,38,100
2019-06-08,mobile,Safari,999,1076,28.6245
2019-06-08,mobile,Safari (in-app),192,192,80.2083
2019-06-08,mobile,Samsung Internet,154,346,10.9827
2019-06-08,tablet,Safari,231,269,71.3755
2019-06-09,desktop,Chrome,115,115,66.9565
2019-06-09,desktop,Safari,38,38,0
2019-06-09,mobile,Chrome,38,38,100
2019-06-09,mobile,Safari,38,38,100
2019-06-09,mobile,Samsung Internet,38,38,0
2019-06-09,tablet,Safari,38,38,100
2019-06-01,desktop,Chrome,1000,1077,24.9768
2019-06-01,desktop,Edge,115,115,66.9565
2019-06-01,desktop,Firefox,154,154,50
2019-06-01,desktop,Internet Explorer,115,115,33.0435
2019-06-01,desktop,Safari,192,231,33.3333
2019-06-01,mobile,Chrome,615,731,47.3324
2019-06-01,mobile,Safari,1192,1423,43.2186
2019-06-01,mobile,Safari (in-app),115,115,66.9565
2019-06-01,mobile,Samsung Internet,38,115,100
2019-06-01,tablet,Chrome,38,38,0
2019-06-01,tablet,Safari,192,192,40.1042
2019-06-02,desktop,Chrome,923,962,43.9709
2019-06-02,desktop,Edge,154,154,0
2019-06-02,desktop,Firefox,77,77,0
2019-06-02,desktop,Internet Explorer,77,77,49.3506
2019-06-02,desktop,Safari,308,346,66.763
2019-06-02,mobile,Chrome,462,500,38.4
2019-06-02,mobile,Safari,1615,1846,45.8288
2019-06-02,mobile,Samsung Internet,231,500,53.8
2019-06-02,tablet,Chrome,77,77,49.3506
2019-06-02,tablet,Safari,192,192,40.1042
2019-06-03,desktop,Chrome,2769,3000,42.3
2019-06-03,desktop,Edge,462,500,38.4
2019-06-03,desktop,Firefox,231,269,14.1264
2019-06-03,desktop,Internet Explorer,692,808,38.1188
2019-06-03,desktop,Opera,38,38,0
2019-06-03,desktop,Safari,385,462,41.5584
2019-06-03,mobile,Android Webview,38,38,100
2019-06-03,mobile,Chrome,885,1269,33.3333
2019-06-03,mobile,Safari,2231,2654,49.2841
2019-06-03,mobile,Safari (in-app),38,38,0
2019-06-03,mobile,Samsung Internet,346,538,35.6877
2019-06-03,tablet,Safari,115,269,85.8736
2019-06-04,desktop,Chrome,3154,3500,40.6571
2019-06-04,desktop,Edge,192,192,40.1042
2019-06-04,desktop,Firefox,308,308,37.3377
2019-06-04,desktop,Internet Explorer,692,808,28.5891
2019-06-04,desktop,Safari,346,385,49.8701
2019-06-04,mobile,Android Webview,77,77,100
2019-06-04,mobile,Chrome,846,1000,50
2019-06-04,mobile,Safari,1885,2077,29.61
2019-06-04,mobile,Safari (in-app),192,192,80.2083
2019-06-04,mobile,Samsung Internet,462,885,30.3955
2019-06-04,tablet,Chrome,38,154,24.6753
2019-06-04,tablet,Internet Explorer,38,38,0
2019-06-04,tablet,Safari,115,269,42.7509
2019-06-05,desktop,Chrome,3154,3539,47.8101
2019-06-05,desktop,Edge,385,385,29.8701
2019-06-05,desktop,Firefox,231,231,49.7835
2019-06-05,desktop,Internet Explorer,423,538,42.9368
2019-06-05,desktop,Mozilla Compatible Agent,77,77,100
2019-06-05,desktop,Safari,500,500,46.2
2019-06-05,mobile,Android Browser,38,38,100
2019-06-05,mobile,Android Webview,77,77,100
2019-06-05,mobile,Chrome,731,808,38.1188
2019-06-05,mobile,Safari,2000,2308,36.6551
2019-06-05,mobile,Safari (in-app),154,154,50
2019-06-05,mobile,Samsung Internet,154,538,28.6245
2019-06-05,tablet,Amazon Silk,38,38,0
2019-06-05,tablet,Internet Explorer,38,38,0
2019-06-05,tablet,Safari,308,346,66.763
2019-06-06,desktop,Chrome,2731,3116,46.9191
2019-06-06,desktop,Edge,269,308,37.3377
2019-06-06,desktop,Firefox,385,500,38.4
2019-06-06,desktop,Internet Explorer,538,577,19.9307
2019-06-06,desktop,Opera,38,38,100
2019-06-06,desktop,Safari,269,269,57.2491
2019-06-06,mobile,Android Webview,38,38,100
2019-06-06,mobile,Chrome,846,1000,34.6
2019-06-06,mobile,Opera,38,38,0
